priority,group,identity,path,top_issue,issues
1,genuine,1,genuine\1\20260223_113338.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,2,genuine\2\20260223_113735.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,2,genuine\2\20260223_113739.jpg,sin_rostro_detectado,sin_rostro_detectado
1,genuine,3,genuine\3\20260223_114005.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,1,known\1\20260223_113151.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,1,known\1\20260223_113156.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,2,known\2\20260223_113703.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,2,known\2\20260223_113720.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,2,known\2\20260223_113724.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,3,known\3\20260223_113923.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,3,known\3\20260223_113931.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,3,known\3\20260223_113940.jpg,sin_rostro_detectado,sin_rostro_detectado
1,known,4,known\4\20260223_114046.jpg,sin_rostro_detectado,sin_rostro_detectado
2,genuine,7,genuine\7\20260223_114635.jpg,multiples_rostros,"multiples_rostros,rostro_pequeno,rostro_area_baja"
2,genuine,8,genuine\8\20260223_114715.jpg,multiples_rostros,"multiples_rostros,rostro_area_baja"
2,known,10,known\10\20260223_114942.jpg,multiples_rostros,"multiples_rostros,rostro_area_baja"
2,known,10,known\10\20260223_114958.jpg,multiples_rostros,"multiples_rostros,rostro_pequeno,rostro_area_baja"
2,known,12,known\12\20260223_115124.jpg,multiples_rostros,"multiples_rostros,rostro_pequeno,rostro_area_baja"
2,known,12,known\12\20260223_115148.jpg,multiples_rostros,"multiples_rostros,rostro_pequeno,rostro_area_baja"
2,known,14,known\14\20260223_114257.jpg,multiples_rostros,"multiples_rostros,rostro_area_baja"
2,known,4,known\4\20260223_114055.jpg,multiples_rostros,multiples_rostros
2,known,5,known\5\20260223_114128.jpg,multiples_rostros,"multiples_rostros,rostro_area_baja"
2,known,7,known\7\20260223_114615.jpg,multiples_rostros,"multiples_rostros,rostro_pequeno,rostro_area_baja"
2,known,7,known\7\20260223_114618.jpg,multiples_rostros,"multiples_rostros,rostro_pequeno,rostro_area_baja"
2,known,7,known\7\20260223_114632.jpg,multiples_rostros,"multiples_rostros,rostro_pequeno,rostro_area_baja"
3,genuine,1,genuine\1\20260223_113315.jpg,desenfoque_alto,"desenfoque_alto,rostro_area_baja"
3,genuine,1,genuine\1\20260223_113345.jpg,desenfoque_alto,"desenfoque_alto,rostro_area_baja"
3,genuine,13,genuine\13\20260223_115309.jpg,desenfoque_alto,"desenfoque_alto,rostro_area_baja"
3,genuine,6,genuine\6\20260223_114438.jpg,desenfoque_alto,desenfoque_alto
3,genuine,6,genuine\6\20260223_114441.jpg,desenfoque_alto,desenfoque_alto
3,genuine,6,genuine\6\20260223_114443.jpg,desenfoque_alto,desenfoque_alto
3,genuine,8,genuine\8\20260223_114711.jpg,desenfoque_alto,"desenfoque_alto,rostro_pequeno,rostro_area_baja"
3,known,1,known\1\20260223_113147.jpg,desenfoque_alto,desenfoque_alto
3,known,1,known\1\20260223_113310.jpg,desenfoque_alto,"desenfoque_alto,rostro_pequeno,rostro_area_baja"
3,known,11,known\11\20260223_115034.jpg,desenfoque_alto,"desenfoque_alto,rostro_pequeno,rostro_area_baja"
3,known,13,known\13\20260223_115256.jpg,desenfoque_alto,"desenfoque_alto,rostro_area_baja"
3,known,6,known\6\20260223_114416.jpg,desenfoque_alto,"desenfoque_alto,rostro_area_baja"
3,known,6,known\6\20260223_114421.jpg,desenfoque_alto,desenfoque_alto
3,known,6,known\6\20260223_114425.jpg,desenfoque_alto,desenfoque_alto
3,known,6,known\6\20260223_114428.jpg,desenfoque_alto,desenfoque_alto
3,known,6,known\6\20260223_114435.jpg,desenfoque_alto,desenfoque_alto
4,genuine,11,genuine\11\20260223_115059.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,genuine,11,genuine\11\20260223_115103.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,genuine,12,genuine\12\20260223_115202.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,genuine,4,genuine\4\20260223_114113.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,genuine,5,genuine\5\20260223_114210.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,genuine,7,genuine\7\20260223_114642.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,genuine,8,genuine\8\20260223_114720.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,11,known\11\20260223_115026.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,11,known\11\20260223_115030.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,11,known\11\20260223_115037.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,11,known\11\20260223_115054.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,14,known\14\20260223_114304.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,14,known\14\20260223_114315.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,2,known\2\20260223_113729.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,3,known\3\20260223_113914.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,3,known\3\20260223_113926.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,8,known\8\20260223_114653.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
4,known,8,known\8\20260223_114709.jpg,rostro_pequeno,"rostro_pequeno,rostro_area_baja"
5,genuine,12,genuine\12\20260223_115151.jpg,rostro_area_baja,rostro_area_baja
5,genuine,12,genuine\12\20260223_115156.jpg,rostro_area_baja,rostro_area_baja
5,genuine,12,genuine\12\20260223_115159.jpg,rostro_area_baja,rostro_area_baja
5,genuine,5,genuine\5\20260223_114208.jpg,rostro_area_baja,rostro_area_baja
5,genuine,7,genuine\7\20260223_114639.jpg,rostro_area_baja,rostro_area_baja
5,genuine,7,genuine\7\20260223_114645.jpg,rostro_area_baja,rostro_area_baja
5,genuine,8,genuine\8\20260223_114717.jpg,rostro_area_baja,rostro_area_baja
5,known,10,known\10\20260223_114948.jpg,rostro_area_baja,rostro_area_baja
5,known,10,known\10\20260223_114952.jpg,rostro_area_baja,rostro_area_baja
5,known,10,known\10\20260223_114956.jpg,rostro_area_baja,rostro_area_baja
5,known,12,known\12\20260223_115131.jpg,rostro_area_baja,rostro_area_baja
5,known,12,known\12\20260223_115134.jpg,rostro_area_baja,rostro_area_baja
5,known,12,known\12\20260223_115137.jpg,rostro_area_baja,rostro_area_baja
5,known,13,known\13\20260223_115248.jpg,rostro_area_baja,rostro_area_baja
5,known,13,known\13\20260223_115252.jpg,rostro_area_baja,rostro_area_baja
5,known,13,known\13\20260223_115304.jpg,rostro_area_baja,rostro_area_baja
5,known,14,known\14\20260223_114300.jpg,rostro_area_baja,rostro_area_baja
5,known,2,known\2\20260223_113657.jpg,rostro_area_baja,rostro_area_baja
5,known,4,known\4\20260223_114043.jpg,rostro_area_baja,rostro_area_baja
5,known,4,known\4\20260223_114050.jpg,rostro_area_baja,rostro_area_baja
5,known,5,known\5\20260223_114136.jpg,rostro_area_baja,rostro_area_baja
5,known,5,known\5\20260223_114139.jpg,rostro_area_baja,rostro_area_baja
5,known,5,known\5\20260223_114202.jpg,rostro_area_baja,rostro_area_baja
5,known,5,known\5\20260223_114204.jpg,rostro_area_baja,rostro_area_baja
5,known,7,known\7\20260223_114608.jpg,rostro_area_baja,rostro_area_baja
5,known,7,known\7\20260223_114622.jpg,rostro_area_baja,rostro_area_baja
5,known,8,known\8\20260223_114656.jpg,rostro_area_baja,rostro_area_baja
5,known,8,known\8\20260223_114700.jpg,rostro_area_baja,rostro_area_baja
5,known,8,known\8\20260223_114703.jpg,rostro_area_baja,rostro_area_baja
